"senior python developer--вчера","Quantenna Communications","Санкт-Петербург","Требуемый опыт работы:
                    более 6 лет","Полная занятость,
                    полный день","https://m.hh.ru/vacancy/24456617"," Hands-on experience of Python libraries like Pandas Hands-on experience of JavaScript development with React / Redux / Webpack Understanding of QA processes Skills in Wi-Fi / Ethernet testing "," Good spoken and written English Strong analytical skills as well as excellent written and verbal communication skills Familiarity with Python 2.7 and 3.x Hands-on experience of Flask web-framework Experience with REST-based APIs consumption and creation Experience handling big volumes of unstructured text data Proficient in regular expressions and data cleanup Experience working with MongoDB Hands-on experience of Linux server and application administration Strong teamwork skills along with the ability to work independently. "
"senior python developer--вчера","Quantenna Communications","Москва","Требуемый опыт работы:
                    более 6 лет","Полная занятость,
                    полный день","https://m.hh.ru/vacancy/24456632"," Hands-on experience of Python libraries like Pandas Hands-on experience of JavaScript development with React / Redux / Webpack Understanding of QA processes Skills in Wi-Fi / Ethernet testing "," Good spoken and written English Strong analytical skills as well as excellent written and verbal communication skills Familiarity with Python 2.7 and 3.x Hands-on experience of Flask web-framework Experience with REST-based APIs consumption and creation Experience handling big volumes of unstructured text data Proficient in regular expressions and data cleanup Experience working with MongoDB Hands-on experience of Linux server and application administration Strong teamwork skills along with the ability to work independently. "
"senior python developer--вчера","Quantenna Communications","Нижний Новгород","Требуемый опыт работы:
                    более 6 лет","Полная занятость,
                    полный день","https://m.hh.ru/vacancy/24456634"," Hands-on experience of Python libraries like Pandas Hands-on experience of JavaScript development with React / Redux / Webpack Understanding of QA processes Skills in Wi-Fi / Ethernet testing "," Good spoken and written English Strong analytical skills as well as excellent written and verbal communication skills Familiarity with Python 2.7 and 3.x Hands-on experience of Flask web-framework Experience with REST-based APIs consumption and creation Experience handling big volumes of unstructured text data Proficient in regular expressions and data cleanup Experience working with MongoDB Hands-on experience of Linux server and application administration Strong teamwork skills along with the ability to work independently. "
"программист python--сегодня","ООО
    
            

            Смарт Ритейл","Москва","Требуемый опыт работы:
                    3–6 лет","Полная занятость,
                    полный день","https://m.hh.ru/vacancy/24365024"," Глубокое понимание языка Python (2.7 и 3.х); Стек: Python,Caffe, TensorfFlow, Linux, OpenCV, Git, желательно знать – SQL, MySQL, PostgreSQL; Большой опыт развертывания и настройки серверов (*nix, Ubuntu, Debian); Опыт работы с Docker; Опыт создания REST, RPC API; Знание подходов в обработке изображений; Английский язык на уровне написать письмо, вести переписку. "," планирование разработки; Написание различных обработчиков и преобразователей данных (json, xml, csv и т.д.); Создание и управление очередями для задач на высоконагруженных сервисах; Помощь в разработке ML моделей, создании новых и оптимизации действующих алгоритмов; Участие в разработке архитектуры решения в целом. "
"python developer--сегодня","ООО
    
            

            МСТ","Санкт-Петербург","Требуемый опыт работы:
                    1–3 года","Полная занятость,
                    полный день","https://m.hh.ru/vacancy/23963671"," знания ReactJS опыт работы с HTML/CSS знание особенностей асинхронного программирования ","  отличные знания python 3.x   опыт работы с Flask   знание SQL   готовность выходить за рамки своей специализации  "
"senior python developer--5 февраля","Дестени Продакшн","Москва","Требуемый опыт работы:
                    3–6 лет","Полная занятость,
                    полный день","https://m.hh.ru/vacancy/24319801"," Действительно интересные проекты и отличный коллектив; Достойную оплату труда по итогам собеседования; Оформление по ТК РФ; Умеренно гибкий график и шаговую доступность от метро; Уютный офис с кучей приятных моментов: чай, кофе, PlayStation, комната отдыха, «капсула сна» для повышения работоспособности, настольный теннис и прочие радости. "," Опыт промышленной разработки на Python от 3-х лет. Мы используем Python 3.6; Опыт работы с Django и Django Rest Framework; Знание принципов работы баз данных и опыт работы с MySQL/PostgreSQL; Способность писать поддерживаемый код, покрывать функциональность тестами; Знание git и отсутствие страха перед консолью *nix; Понимание базовых принципов современного фронтенда: JavaScript (ES7), HTML, CSS, Webpack, ReactJS; Базовые знания базовых принципов из CS - ООП, композиция, шаблоны проектирования, регулярные выражения и др.; Опыт работы с Memcached/Redis; Английский язык на уровне свободного чтения документации и именования классов и полей. "
"python developer (platform)--сегодня","Wargaming, Minsk (Game Stream)","Минск","Требуемый опыт работы:
                    3–6 лет","Полная занятость,
                    полный день","https://m.hh.ru/vacancy/21332574"," опыт работы с Python; опыт написания сервисов с использованием асинхронных библиотек/технологий (Twisted, Tornado, Asyncio); опыт работы с MySQL/PostrgreSQL/NoSQL; опыт работы с Linux; опыт работы с системами кеширования (Redis, Memcache); опыт работы с системами обмена сообщениями (RabbitMQ, Kafka); опыт работы с MVC/MVVM-like фреймворками (Django/Flask); опыт написания sync/async API на базе HTTP/AMQP; опыт работы с сериализацией/десериализацией данных: JSON, protobuf, avro, pickle и подобные; опыт работы с Git или подобными VCS. "," реализация новой и поддержка существующей функциональности в проекте (Python, Erlang/Elixir, Golang); участие в scrum-like процессах: groomings, plannings, retrospectives, demos и т. д.; участие в поддержании CI/CD-подходов при разработке. "
"python developer (wargaming service)--5 февраля","Wargaming, Minsk (Game Stream)","Минск","Требуемый опыт работы:
                    3–6 лет","Полная занятость,
                    полный день","https://m.hh.ru/vacancy/23806052"," 3–5 лет разработки ПО в качестве бекенд-программиста; большой рабочий опыт использования одного или более языков программирования: Python, JavaScript, Erlang, Elixir; опыт работы с современными фреймворками разработки сетевого и мобильного ПО; большой опыт работы с PostgreSQL/MySQL, Redis; хорошее знание протоколов HTTP и AMQP. "," разработка и обслуживание Platform; участие в ревью кода; сотрудничество с внешними командами разработки для обеспечения пользователям высочайшего качества сервиса. "
"программист python--5 февраля","Inline Telecom Solutions","Москва","Требуемый опыт работы:
                    1–3 года","Полная занятость,
                    полный день","https://m.hh.ru/vacancy/22712649"," Хороший опыт и знания работы на Python; Опыт веб-разработки с использованием Django; Навыки работы с SQL; Опыт разработки ПО под Linux; "," Web-разработка; Разработка систем сбора и анализа данных для веб-маркетинга, систем анализа сетевой активности, учета ресурсов; Поддержка и развитие проектов для сетей крупных операторов связи. "
"разработчик python--5 февраля","ЗАО
    
            

            FPI","Москва","Требуемый опыт работы:
                    3–6 лет","Полная занятость,
                    полный день","https://m.hh.ru/vacancy/22844115"," Понимание основных принципов создания и поддержания качественного кода; Опыт коммерческой разработки на Python; Хорошее знание Linux; Опыт разработки под железо - приветствуется, но не обязателен. "," Разрабатывать код на Python для устройства на Raspbian Linux; Проектировать интеграционные тесты; Придумывать, как связать наше решение с популярными IOT платформами; "
"senior python developer--вчера","DigitalHR","Москва","Требуемый опыт работы:
                    3–6 лет","Полная занятость,
                    полный день","https://m.hh.ru/vacancy/24266641"," At least 3 years' of professional Python development experience. Good knowledge of standard library. Experience with different Python frameworks. Good knowledge of Postgresql or MySQL (schema planning, query optimization, some level of profiling, e.t.c). Understanding of OOP principles and design patterns. Experience with RESTful API (development). Knowledge of network protocols. Experience with cloud platforms such as GCE, AWS. Spoken English (you will have to communicate with product team in New York). "," Develop backend of web application in Python. Participation in project architecture design. Requirements elicitation. Do code reviews and unit testing. Technology stacks that we use: python 3, django-rest-framework, rdbms (postgres), google-app-engine. "
"разработчик python (django)--5 февраля","КС-Погрузчик","Москва","Требуемый опыт работы:
                    3–6 лет","Полная занятость,
                    полный день","https://m.hh.ru/vacancy/24245638","",""
"разработчик python/django--вчера","ООО
    
            

            ИнДев Групп","Санкт-Петербург","Требуемый опыт работы:
                    1–3 года","Полная занятость,
                    полный день","https://m.hh.ru/vacancy/24448892"," Умение работать с Tornado, Celery, Docker "," Знание сетевых протоколов: HTTP(s), WebSockets, TCP/IP Уверенное знание Python Опыт разработки асинхронного кода (желательно async/await) Опыт разработки RESTful API Опыт работы с web-фреймворками (Django, Flask) Умение обращаться с redis, nginx, postgresql Умение работать в TDD стиле Навыки оптимизации производительности/профилирования кода и обращений к сервисам Уверенное знание архитектуры современных web-приложений Опыт коллективной разработки (bug tracking, git) Ответственность, самостоятельность, инициативность Умение разбираться в чужом коде Желание быть частью команды "
"программист python (django)--вчера","Деньга","Санкт-Петербург","Требуемый опыт работы:
                    1–3 года","Полная занятость,
                    полный день","https://m.hh.ru/vacancy/24025083"," высшее образование (можно не профильное), знание django, знание SQL, опыт работы с CVS, в частности git. "," Опыт коммерческой разработки на python от года,  высшее образование (можно не профильное), знание django, знание SQL, опыт работы с CVS, в частности git.   "
"программист python (backend)--сегодня","ООО
    
            

            МедРейтинг","Краснодар","Требуемый опыт работы:
                    1–3 года","Полная занятость,
                    полный день","https://m.hh.ru/vacancy/24263807"," Постоянная работа, полный день, работа на территории работодателя Оформление, отпуск, больничный и прочие бумажно-социальные штуки по ТК этой страны График работы 5/2 (обсуждаемо) Офис в центре города Чай, кофе, печеньки в свободном доступе "," Высшее техническое образование (или старшие курсы ) Базовое владение HTML, CSS, JavaScript, SQL Будет плюсом знание Python (Django), JQuery, PostgreSQL Знание английского языка (чтение проф-литературы) Желание развиваться в области программирования "
"программист python (openstack, ansible)--5 февраля","Inline Telecom Solutions","Москва","Требуемый опыт работы:
                    1–3 года","Полная занятость,
                    полный день","https://m.hh.ru/vacancy/22712539"," Хорошее знание Python Опыт работы с Openstack, commit кода в основную ветку или в смежные подпроекты. Опыт автоматизации на основе configuration managers: ansible, chef и т.п. Знание Linux. Английский письменный для чтения документации и ведения переписки. "," Участие в рабочей группе по облачным платформам в телеком-операторах (openstack, cloudify, ansible, open-o, коммерческие продукты): лабораторный инсталляции, экспериментальные сборки Доработка модулей облачных решений в рамках интеграционных проектов Анализ открытых и коммерческих решений VNF Написание скриптов ansible playbook и heat template для VNF телеком-продуктов Отладка, анализ ошибок и производительности созданных скриптов "
"senior python developer (ведущий программист python)--вчера","ООО
    
            

            Строительный Двор","Москва","Требуемый опыт работы:
                    более 6 лет","Полная занятость,
                    гибкий график","https://m.hh.ru/vacancy/24456169","",""
"программист python--5 февраля","Ремонтиста","Москва","Требуемый опыт работы:
                    1–3 года","Полная занятость,
                    полный день","https://m.hh.ru/vacancy/24069875"," Уровень Middle/Upper Middle Подтвержденный опыт работы программистом Python от 3-х лет Обязателен опыт коммерческой разработки веб-сервисов Отличное знание Python и его экосистемы Опыт работы с Flask Опыт работы с MongoDB (PyMongo/Mongoengine), Aggregation Framework Опыт работы с очередью RabbitMQ, Celery Работа с git Опыт использования Linux на уровне продвинутого пользователя Желательно знание и опыт программирования еще на одном языке "," Разработка backend крупного высоконагруженного проекта в автомобильной тематике. Коллегиальный принцип принятия решений связанных с разработкой. Решение интересных задач, возможность профессионального роста, возможность использовать самые современные технологии и подходы к работе в реальных проектах (RESTful API, MS Azure, Microservices) "
"python-developer / protection suite--5 февраля","АО
    
            

            РТСофт","Москва","Требуемый опыт работы:
                    3–6 лет","Полная занятость,
                    полный день","https://m.hh.ru/vacancy/23558992"," опыт разработки на Python от 2 лет (Tornado или аналогичный асинхронный Фреймворк); уверенное знание Git; умение тестировать собственный код и разбираться в чужом; практическое представление об автоматизации процессов; желание и умение быть частью команды. "," проектирование и разработка веб-приложений на Python; покрытие кода юнит-тестами; проектирование программных интерфейсов (API). "
"программист python--сегодня","Агентство 21 век, КЦ","Москва","Требуемый опыт работы:
                    1–3 года","Полная занятость,
                    полный день","https://m.hh.ru/vacancy/24464173"," Знание языков программирования и программных библиотек: Python (Flask/Django framework), – более 2 лет; Знание СУБД PostgreSQL/MySQL– более 2 лет; Опыт успешного завершения коммерческих веб- проектов; "," Разработка веб-проектов компании (back-end); Участие в разработке API взаимодействия с сервисами; Участие в разработке архитектурных решений, выбор технологического стека; Разработки unit тестов. "
"senior python / django разработчик--вчера","ООО
    
            

            Синдекс","Москва","Требуемый опыт работы:
                    3–6 лет","Полная занятость,
                    полный день","https://m.hh.ru/vacancy/24000834"," Опыт в разработке интерактивных асинхронных приложений (чаты, игры) Опыт использования RabbitMQ, Docker, Docker Swarm Знание других языков программирования (Ruby, Crystal, PHP, Java) "," Понимание того, что такое микросервисы Опыт написания REST API, взаимодействия со сторонними API Умение и желание писать документацию Страсть к написанию простого, быстрого и гибкого кода Опыт работы с PostgreSQL Требовательность к качеству своего продукта Открытость, ответственность Опыт работы от 5 лет "
"python developer--5 февраля","DigitalHR","Москва","Требуемый опыт работы:
                    1–3 года","Полная занятость,
                    полный день","https://m.hh.ru/vacancy/24196425"," Опыт разработки на C/C++; Умение применять готовые решения там, где это возможно; Знание английского языка на уровне чтения технической документации. Понимание принципов работы финансовых потоков. "," Хорошие знания Python 2.7/3.6; Умение писать поддерживаемый, читаемый и тестируемый код; Опыт создания парсеров; Умение писать, понимать и оптимизировать SQL­ запросы; "
"разработчик python (backend)--вчера","585, Холдинг","Москва","Требуемый опыт работы:
                    3–6 лет","Полная занятость,
                    полный день","https://m.hh.ru/vacancy/22839805"," Имеете опыт работы с технологиями передачи асинхронных сообщений (Kafka, RabbitMQ, ActiveMQ etc.) Имеете опыт создания REST API, в том числе и для разных типов Front applications. Интересуетесь различными технологиями машинного обучения, Big Data и имеете опыт решения различных Data Science задач Немного знакомы с SAP Знаете методологии ведения проектов с использованием гибких технологий разработки (Agile, Scrum, Kanban). Использовали современные практики разработки программного обеспечения Continuous Delivery и Continuous Integration. "," От 3-х лет промышленной разработки на Python, включая практический опыт Python 3 Опыт создания высоконагруженных, отказоустойчивых, распределенных систем в том числе многопоточное программирование и асинхронное программирование (multiprocessing, threading, asyncio, Tornado…), Опыт разработки клиент-серверных приложений (backend) на основе web frameworks: Django (preferable), Twisted etc. Опыт по созданию моделей в БД в основном с использованием ORM (SQL Alchemy, ….) Реализация систем, обрабатывающих большие объемы данных. Умение профилировать и оптимизировать код на Python. Работа с репозиторием кода Git, опыт написания Unit и интеграционных тестов Умение разбираться и готовность дорабатывать чужой код Высшее образование в области программирования, автоматизации, вычислительной математики, статистики, анализа данных и т.п. обязательно. "
"python developer--5 февраля","Saber Interactive","Санкт-Петербург","Требуемый опыт работы:
                    1–3 года","Полная занятость,
                    полный день","https://m.hh.ru/vacancy/23558006"," Уверенные знания и опыт работы с Python (от 2-х лет) Опыт разработки backend-сервисов Опыт работы с MySql Понимание и опыт в написании unit-тестов Английский на уровне чтения технической документации "," Разработка backend-сервисов для систем автоматизированной сборки и тестирования игр Разработка и поддержка имеющихся сервисов, рефакторинг и сопровождение "
"senior python developer (ведущий разработчик python)--5 февраля","Social Quantum","Москва","Требуемый опыт работы:
                    3–6 лет","Полная занятость,
                    полный день","https://m.hh.ru/vacancy/23963440"," Опыт программирования на Python от 5 лет Опыт работы с git Способность работать в команде, ответственный подход к своим задачам. "," Программирование, разработка backend (Python) и современного фронтенда для внутренних проектов Компании Написание тестов. Оформление документации. "
"senior python developer (ведущий разработчик python)--5 февраля","Social Quantum","Санкт-Петербург","Требуемый опыт работы:
                    3–6 лет","Полная занятость,
                    полный день","https://m.hh.ru/vacancy/23963441"," Опыт программирования на Python от 5 лет Опыт работы с git Способность работать в команде, ответственный подход к своим задачам. "," Программирование, разработка backend (Python) и современного фронтенда для внутренних проектов Компании Написание тестов. Оформление документации. "
"senior python developer (ведущий разработчик python)--5 февраля","Social Quantum","Новосибирск","Требуемый опыт работы:
                    3–6 лет","Полная занятость,
                    полный день","https://m.hh.ru/vacancy/23963442"," Опыт программирования на Python от 5 лет Опыт работы с git Способность работать в команде, ответственный подход к своим задачам. "," Программирование, разработка backend (Python) и современного фронтенда для внутренних проектов Компании Написание тестов. Оформление документации. "
"senior python developer (ведущий разработчик python)--5 февраля","Social Quantum","Иваново (Ивановская область)","Требуемый опыт работы:
                    3–6 лет","Полная занятость,
                    полный день","https://m.hh.ru/vacancy/23963443"," Опыт программирования на Python от 5 лет Опыт работы с git Способность работать в команде, ответственный подход к своим задачам. "," Программирование, разработка backend (Python) и современного фронтенда для внутренних проектов Компании Написание тестов. Оформление документации. "
"разработчик python--вчера","Uchi.ru","Москва","Требуемый опыт работы:
                    1–3 года","Полная занятость,
                    полный день","https://m.hh.ru/vacancy/24032753"," встроенные структуры данных (list, dict, set, tuple) владение ООП-возможностями python (классы, наследование) библиотеки для работы с данными (numpy, pandas) "," Базовые знания python (желательно версии 3):  встроенные структуры данных (list, dict, set, tuple) владение ООП-возможностями python (классы, наследование) библиотеки для работы с данными (numpy, pandas)   Базовые знания баз данных:  умение написать несложный запрос на выборку умение спроектировать несложную структуру таблиц понимание принципа работы индексов   Разработка API:  понимание принципов REST знание Flask (или аналогичного framework, например, Django) опыт работы с SQLAlchemy (или каким-либо другим ORM-движком)   Умение/желание вести разработку дисциплинированно:  git unit tests continuous integration code review   "
"ведущий программист python--5 февраля","АО
    
            

            НейроТренд","Москва","Требуемый опыт работы:
                    более 6 лет","Полная занятость,
                    полный день","https://m.hh.ru/vacancy/24157398"," знание Python 3 опыт работы с Django, наличие рабочих проектов под данный фреймворк знание javascript (jQuery) знание MySQL/PostgreSQL - второе крайне желательно опыт использования noSQL умение работать в команде, git, jira\redmine базовый опыт администрирования *nix систем наличие не менее двух законченных проектов с возможностью их посмотреть (git/bitbucket/иное) высшее техническое образование "," работа в команде, умение работать самостоятельно разработка web части крупного проекта с использованием Python/Django code review документирование/тестирование написанного кода развитие существующего кода "
